,skills,summary
0,Unity Game Engine,"Unity is a cross-platform game engine developed by Unity Technologies, first announced and released in June 2005 at Apple Inc.'s Worldwide Developers Conference as a Mac OS X-exclusive game engine. The engine has since been gradually extended to support a variety of desktop, mobile, console and virtual reality platforms. It is particularly popular for iOS and Android mobile game development and used for games such as Pokémon Go, Monument Valley, Call of Duty: Mobile, Beat Saber and Cuphead. It is considered easy to use for beginner developers and is popular for indie game development.The engine can be used to create three-dimensional (3D) and two-dimensional (2D) games, as well as interactive simulations and other experiences. The engine has been adopted by industries outside video gaming, such as film, automotive, architecture, engineering, construction, and the United States Armed Forces.

"
1,Unreal Game Engine,
2,Maya,
3,Game Mechanics,"In tabletop games and video games, game mechanics are the rules that govern and guide the player's actions, as well as the game's response to them. A game's mechanics thus effectively specifies how the game will work for the people who play it.There are no concrete accepted definitions of game mechanics. Some competing definitions include the opinion that game mechanics are ""systems of interactions between the player and the game"", that they ""are more than what the player may recognize, they are only those things that impact the play experience"", and ""In tabletop games and video games, 'game mechanics' are ""the rules and procedures that guide the player and the game response to the player's moves or actions"".All games use mechanics; however, there are different theories as to their ultimate importance to the game. In general, the process and study of game design are efforts to come up with game mechanics that allow for people playing a game to have an engaging, but not necessarily fun, experience. The interaction of various game mechanics in a game determines the complexity and level of player interaction in the game, and in conjunction with the game's environment and resources determine game balance. Some forms of game mechanics have been used in games for centuries, while others are relatively new, having been invented within the past decade."
4,Game Dynamics,
5,Aesthetics,"Aesthetics, or esthetics (), is a branch of philosophy that deals with the nature  of  beauty and taste, as well as the philosophy of art (its own area of philosophy that comes out of aesthetics). It examines aesthetic values, often expressed through judgments of taste.Aesthetics covers both natural and artificial sources of aesthetic experience and judgment. It considers what happens in our minds when we engage with aesthetic objects or environments such as viewing visual art, listening to music, reading poetry, experiencing a play, or exploring nature. The philosophy of art specifically studies how artists imagine, create, and perform works of art, as well as how people use, enjoy, and criticize art. Aesthetics considers why people like some works of art and not others, as well as how art can affect moods or even our beliefs. Both aesthetics and the philosophy of art ask questions like ""What is art?,"" ""What is a work of art?,"" and ""What makes good art?""
Scholars in the field have defined aesthetics as ""critical reflection on art, culture and nature"". In modern English, the term ""aesthetic"" can also refer to a set of principles underlying the works of a particular art movement or theory (one speaks, for example, of a Renaissance aesthetic)."
6,Gamification,"Gamification is the strategic attempt to enhance systems, services, organizations, and activities in order to create similar experiences to those experienced when playing games in order to motivate and engage users. This is generally accomplished through the application of game-design elements and game principles (dynamics and mechanics) in non-game contexts.Gamification is part of persuasive system design, and it commonly employs game design elements to improve user engagement, organizational productivity, flow, learning, crowdsourcing, knowledge retention,, a disembodied experience of the city, employee recruitment and evaluation, ease of use, usefulness of systems, physical exercise, traffic violations, voter apathy, public attitudes about alternative energy, and more. A collection of research on gamification shows that a majority of studies on gamification find it has positive effects on individuals. However, individual and contextual differences exist.

"
7,Level design,"A level, map, area, stage, world, track, board, floor, zone, phase, mission, episode, course or rank in a video game, is the total space available to the player during the course of completing a discrete objective. Video game levels generally have progressively-increasing difficulty to appeal to players with different skill levels. Each level may present new concepts and challenges to keep a player's interest high.In games with linear progression, levels are areas of a larger world, such as Green Hill Zone. Games may also feature interconnected levels, representing locations. Although the challenge in a game is often to defeat some sort of character, levels are sometimes designed with a movement challenge, such as a jumping puzzle, a form of obstacle course. Players must judge the distance between platforms or ledges and safely jump between them to reach the next area. These puzzles can slow the momentum down for players of fast action games; the first Half-Life's penultimate chapter, ""Interloper"", featured multiple moving platforms high in the air with enemies firing at the player from all sides."
8,Loot boxes,"In video games, a loot box (also called a loot/prize crate) is a consumable virtual item which can be redeemed to receive a randomised selection of further virtual items, or loot, ranging from simple customization options for a player's avatar or character, to game-changing equipment such as weapons and armor. A loot box is typically a form of monetisation, with players either buying the boxes directly or receiving the boxes during play and later buying ""keys"" with which to redeem them. These systems may also be known as gacha (based on gashapon – capsule toys) and integrated into gacha games.
Loot box concepts originated from loot systems in massively multiplayer online role-playing games, and from the monetisation of free-to-play mobile gaming. They first appeared in 2004 through 2007, and have appeared in many free-to-play games and in some full-priced titles since then. They are seen by developers and publishers of video games not only to help generate ongoing revenue for games while avoiding drawbacks of paid downloadable content or game subscriptions, but to also keep player interest within games by offering new content and cosmetics through loot-box reward systems.
Loot boxes were popularised through their inclusion in several games throughout the mid-2010s. By the later half of the decade, some games, particularly Star Wars Battlefront II, expanded approaches to the concept that caused them to become highly criticised. Such criticism included ""pay to win"" gameplay systems that favor those that spend real money on loot boxes and negative effects on gameplay systems to accommodate them, as well as them being anti-consumer when implemented in full-priced games. Due to fears of them being used as a source in gray-market skin gambling, loot boxes began to become regulated under national gambling laws in various countries at the same time."
9,Intrinsic motivation,"Motivation is what explains why people or animals initiate, continue or terminate a certain behavior at a particular time. Motivational states are commonly understood as forces acting within the agent that create a disposition to engage in goal-directed behavior. It is often held that different mental states compete with each other and that only the strongest state determines behavior. This means that we can be motivated to do something without actually doing it. The paradigmatic mental state providing motivation is desire. But various other states, such as beliefs about what one ought to do or intentions, may also provide motivation.
Various competing theories have been proposed concerning the content of motivational states. They are known as content theories and aim to describe what goals usually or always motivate people. Abraham Maslow's hierarchy of needs and the ERG theory, for example, posit that humans have certain needs, which are responsible for motivation. Some of these needs, like for food and water, are more basic than other needs, such as for respect from others. On this view, the higher needs can only provide motivation once the lower needs have been fulfilled. Behaviorist theories try to explain behavior solely in terms of the relation between the situation and external, observable behavior without explicit reference to conscious mental states.
Motivation may be either intrinsic, if the activity is desired because it is inherently interesting or enjoyable, or extrinsic, if the agent's goal is an external reward distinct from the activity itself. It has been argued that intrinsic motivation has more beneficial outcomes than extrinsic motivation. Motivational states can also be categorized according to whether the agent is fully aware of why he acts the way he does or not, referred to as conscious and unconscious motivation. Motivation is closely related to practical rationality. A central idea in this field is that we should be motivated to perform an action if we believe that we should perform it. Failing to fulfill this requirement results in cases of irrationality, known as akrasia or weakness of the will, in which there is a discrepancy between our beliefs about what we should do and our actions.
Research on motivation has been employed in various fields. In the field of business, a central question concerns work motivation, for example, what measures an employer can use to ensure that his employees are motivated. Motivation is also of particular interest to educational psychologists because of its crucial role in student learning. Specific interest has been given to the effects of intrinsic and extrinsic motivation in this field."
